episode,epsilon,average_cumulative_reward
117,0.05,56.863774813212494
118,0.05,54.80181350609337
119,0.05,55.26453411356137
120,0.05,53.39541460408472
121,0.05,54.037847807194346
122,0.05,57.54526591884326
123,0.05,56.450622859137994
124,0.05,55.36726721847829
125,0.05,57.24644469834701
126,0.05,49.95245629162956
127,0.05,54.40303147401042
128,0.05,54.5005730312969
129,0.05,56.83246775181429
130,0.05,57.05254570206148
131,0.05,54.94385884836516
132,0.05,54.35793157054881
133,0.05,56.59252159115281
134,0.05,54.54461967101784
135,0.05,54.650313829952765
136,0.05,55.17689208309555
137,0.05,55.51197751065637
138,0.05,54.07730190129312
139,0.05,56.861052647581474
140,0.05,55.33910248003651
141,0.05,56.009865800450335
142,0.05,55.61108365297177
143,0.05,57.0499696683698
144,0.05,54.09803840520758
145,0.05,56.18272751973859
146,0.05,56.77932336032834
147,0.05,55.60033025425979
148,0.05,54.53549858797555
149,0.05,51.24599250620028
150,0.05,57.75513330284337
151,0.05,53.39068097500804
152,0.05,54.941187201343254
153,0.05,54.557730019628536
154,0.05,56.62199925742663
155,0.05,53.04495752826003
156,0.05,55.28250849598254
157,0.05,56.12726413798126
158,0.05,57.650721299447994
159,0.05,53.51981051660363
160,0.05,55.0704671749935
161,0.05,52.6931297874673
162,0.05,56.826256857051185
163,0.05,55.802452375407285
164,0.05,57.52721998362965
165,0.05,56.7424382702183
166,0.05,57.04104394002236
167,0.05,55.051256665002036
168,0.05,55.22624178437455
169,0.05,55.236046397675544
170,0.05,53.381269015538784
171,0.05,56.67844927266067
172,0.05,55.9094354112557
173,0.05,58.366688282879316
174,0.05,56.352797643023486
175,0.05,58.19220958224739
176,0.05,54.2579247768375
177,0.05,56.24019694184648
178,0.05,56.591119961221274
179,0.05,56.30809645475617
180,0.05,56.70707392625081
181,0.05,53.349346899604164
182,0.05,55.29675175810362
183,0.05,56.291813611204745
184,0.05,53.73430203895598
185,0.05,57.315451350119176
186,0.05,56.9372375170352
187,0.05,55.43759578738259
188,0.05,54.567937833387575
189,0.05,55.25591069115091
190,0.05,55.320013630142064
191,0.05,57.237537933740576
192,0.05,52.90732483253434
193,0.05,53.53203275955336
194,0.05,54.020707142238614
195,0.05,57.999579180938724
196,0.05,54.49036139579751
197,0.05,56.91201568895363
198,0.05,55.127273085058185
199,0.05,57.14425898835911
0,0.1,33.55782885588276
1,0.1,-9.802283453021875
2,0.1,-6.81639371218351
3,0.1,11.364654842586063
4,0.1,13.91680010346302
5,0.1,27.697601408013256
6,0.1,32.109247592574235
7,0.1,34.88946050166933
8,0.1,45.67979604404868
9,0.1,48.28723409452164
10,0.1,48.23429797998739
11,0.1,47.98712369730489
12,0.1,50.34671710588573
13,0.1,45.37899212384079
14,0.1,47.16833864806219
15,0.1,50.163705170626606
16,0.1,50.36402965812077
17,0.1,43.88215560058922
18,0.1,50.480811434768746
19,0.1,55.49513197897898
20,0.1,52.210475167300594
21,0.1,49.6822946827732
22,0.1,51.82553981268608
23,0.1,55.455265380959936
24,0.1,51.73266641053462
25,0.1,54.885406097174375
26,0.1,48.4889726974782
27,0.1,54.759988748777616
28,0.1,54.583990082450306
29,0.1,54.41256925289793
30,0.1,50.74479779554158
31,0.1,55.02221397407295
32,0.1,55.16254004236959
33,0.1,53.2968269112271
34,0.1,53.6060461625185
35,0.1,51.90073666661247
36,0.1,55.57621338960073
37,0.1,56.695711878621594
38,0.1,56.22923297213213
39,0.1,52.67937784940088
40,0.1,55.49305742070264
41,0.1,54.041197367928504
42,0.1,52.5021696143277
43,0.1,55.02672314433751
44,0.1,55.44605736963741
45,0.1,49.352311791994616
46,0.1,52.864093840910776
47,0.1,52.26744103469198
48,0.1,54.90887753402811
49,0.1,56.98542565139799
50,0.1,51.519745119836756
51,0.1,54.97425030130932
52,0.1,53.958307627072756
53,0.1,53.97516157338692
54,0.1,54.46494188820783
55,0.1,58.39213376874829
56,0.1,49.729806338907004
57,0.1,54.91181970185923
58,0.1,50.30088696029498
59,0.1,52.87857190337014
60,0.1,55.36663957888372
61,0.1,55.06864817026037
62,0.1,56.022888856224434
63,0.1,53.437531329806426
64,0.1,54.298545365801594
65,0.1,54.04706782753003
66,0.1,56.593636340949686
67,0.1,55.034195685498005
68,0.1,55.24517025331768
69,0.1,52.59806895781257
70,0.1,54.83284676660465
71,0.1,57.86540143479082
72,0.1,55.54411591740043
73,0.1,54.254985022257586
74,0.1,53.55006860607487
75,0.1,55.2684049846046
76,0.1,53.178899542524334
77,0.1,53.63475043925876
78,0.1,54.88295322740377
79,0.1,52.120058190542515
80,0.1,56.5189116551419
81,0.1,56.16816111487928
82,0.1,55.53375207284139
83,0.1,55.09831612493635
84,0.1,55.52646940795878
85,0.1,53.327903266852545
86,0.1,57.093882694648734
87,0.1,53.39531690814612
88,0.1,54.17303785517904
89,0.1,54.5108578810466
90,0.1,54.44860010319001
91,0.1,54.94652299832034
92,0.1,53.96138112678585
93,0.1,56.9201328934399
94,0.1,56.31663229260941
95,0.1,54.333023768447454
96,0.1,53.46654921718352
97,0.1,55.54053630674177
98,0.1,55.47618528346185
99,0.1,55.47645384186727
100,0.1,54.25084367399026
101,0.1,53.04473245041807
102,0.1,57.796728911310474
103,0.1,54.784711105689446
104,0.1,52.989686314862766
105,0.1,57.3036910465194
106,0.1,54.27734075960506
107,0.1,54.41984182131276
108,0.1,56.712699459142875
109,0.1,52.70760411735774
110,0.1,57.83684976225877
111,0.1,54.44385862082858
112,0.1,55.1281008689385
113,0.1,53.06328962523687
114,0.1,52.08105517775845
115,0.1,55.94256537406023
116,0.1,56.17372618491217
117,0.1,55.62030877470845
118,0.1,52.31989306301931
119,0.1,56.43274541319042
120,0.1,55.66730345890792
121,0.1,55.26423249754859
122,0.1,54.377537137513045
123,0.1,54.4924200609166
124,0.1,53.53276040915555
125,0.1,56.73986111194163
126,0.1,55.75768444072434
127,0.1,57.000053221478986
128,0.1,55.46850753030538
129,0.1,58.67293173259238
130,0.1,58.18299528172965
131,0.1,53.89074777798341
132,0.1,56.93112697854033
133,0.1,57.02846858759267
134,0.1,54.402903877776005
135,0.1,53.49566225394685
136,0.1,57.09560703407793
137,0.1,57.0908222902087
138,0.1,57.24775310495277
139,0.1,54.67121979597287
140,0.1,53.356355707948104
141,0.1,58.13648495463808
142,0.1,54.44133045409672
143,0.1,55.66389938568489
144,0.1,58.57397489960198
145,0.1,53.33261294723872
146,0.1,55.41428998853257
147,0.1,57.2636414913734
148,0.1,50.44906102481156
149,0.1,54.228806589994434
150,0.1,57.11724237889319
151,0.1,58.36847580353446
152,0.1,55.744269195807846
153,0.1,57.19402817095792
154,0.1,57.0171965298113
155,0.1,55.08675374747647
156,0.1,59.08233116766892
157,0.1,52.251804537953866
158,0.1,53.5026790465385
159,0.1,56.856562419165684
160,0.1,55.84339753133833
161,0.1,57.48481693522885
162,0.1,54.515886383266306
163,0.1,56.07800552953225
164,0.1,55.228097229576775
165,0.1,54.240408931038466
166,0.1,53.08872756747932
167,0.1,56.00456256084001
168,0.1,56.20795899580519
169,0.1,56.2963251005815
170,0.1,57.57773034677389
171,0.1,56.33267718324921
172,0.1,54.014536031441466
173,0.1,56.65823013166569
174,0.1,55.82813874325159
175,0.1,57.564035033949715
176,0.1,55.66109340860456
177,0.1,56.76705522810306
178,0.1,58.756893914023955
179,0.1,55.003784501303834
180,0.1,53.44848881807363
181,0.1,56.420666483869546
182,0.1,55.959473342115814
183,0.1,56.41619018306394
184,0.1,55.11723470594478
185,0.1,57.16893423461908
186,0.1,56.078866585821636
187,0.1,57.28364509078581
188,0.1,55.163610668560786
189,0.1,54.51297692947754
190,0.1,56.4769922013315
191,0.1,54.589292986370076
192,0.1,57.39682506960048
193,0.1,53.929678671820376
194,0.1,55.91956478352183
195,0.1,57.64223535618606
196,0.1,57.817290741533455
197,0.1,55.47023310166275
198,0.1,50.27647470472802
199,0.1,53.645199112390486
0,0.3,26.63508467665693
1,0.3,2.932198779547459
2,0.3,0.8242229774973907
3,0.3,16.369540289678934
4,0.3,14.626039803046993
5,0.3,25.389587278257057
6,0.3,29.061657407169584
7,0.3,42.19933112648493
8,0.3,42.5121567909057
9,0.3,41.22588048382642
10,0.3,46.05201546825265
11,0.3,50.361971725466134
12,0.3,44.90917669801115
13,0.3,46.21737113053785
14,0.3,46.66891807231602
15,0.3,49.70600816223462
16,0.3,51.681814488979434
17,0.3,53.46462095809907
18,0.3,48.40901863606934
19,0.3,54.776053581693056
20,0.3,51.76672696661126
21,0.3,49.00646200087119
22,0.3,50.77145520365068
23,0.3,54.25866465336575
24,0.3,47.63281813603257
25,0.3,53.47672986980937
26,0.3,53.60520755608754
27,0.3,52.14613330143627
28,0.3,51.888121837410665
29,0.3,52.66739064482064
30,0.3,52.02634448779159
31,0.3,54.996472872896845
32,0.3,54.45900416922644
33,0.3,47.15969623857092
34,0.3,50.44133543159871
35,0.3,54.27375078322233
